"OldPLOTID","Regen_Plot","DBH","ID","Species","comments"
NA,"BST1100197",69.5,657,"ABMA",""
NA,"RAL1100056",17.8,658,"PIPO",""
NA,"RAL1100056",9.1,659,"PIPO",""
NA,"RAL1100056",15.5,660,"PIPO",""
NA,"RAL1100056",9.5,661,"PIPO",""
NA,"RAL1100056",9.3,662,"PIPO",""
NA,"RAL1100059",12.7,663,"ABCO",""
NA,"RAL1100059",16.3,664,"CADE27",""
NA,"RAL1100059",14.2,665,"CADE27",""
NA,"RAL1100059",2.9,666,"CADE27",""
NA,"RAL1100059",28.2,667,"PSME",""
NA,"RAL1100092",28.3,668,"CADE27",""
NA,"BST1100311",44.5,669,"ABMA",""
NA,"BST1100311",3,670,"ABMA",""
NA,"BST1100311",11.3,671,"ABMA",""
NA,"BST1100311",10,672,"ABCO",""
NA,"BST1100309",25,673,"ABCO",""
NA,"BST1100309",33,674,"ABCO",""
NA,"BST1100309",33,675,"ABCO",""
NA,"BST1100309",31.6,676,"ABCO",""
NA,"BST1100309",26.4,677,"ABCO",""
NA,"BST1100309",32.2,678,"ABCO",""
NA,"BST1100309",29.7,679,"ABCO",""
NA,"BST1100309",14,680,"ABCO",""
NA,"RAL1100093",90.1,681,"PSME",""
NA,"RAL1100060",8.9,682,"CADE27",""
NA,"RAL1100061",9,683,"CADE27",""
NA,"RAL1100128",42.9,684,"CADE27",""
NA,"RAL1100128",30.5,685,"CADE27",""
NA,"RAL1100127",45.6,686,"PIPO",""
NA,"RAL1100127",44.3,687,"PIPO",""
NA,"RAL1100047",10.3,688,"QUCH2",""
NA,"RAL1100047",10.3,689,"QUCH2",""
NA,"RAL1100047",10.3,690,"QUCH2",""
NA,"RAL1100047",10.3,691,"QUCH2",""
NA,"RAL1100047",10.3,692,"QUCH2",""
NA,"RAL1100047",10.3,693,"QUCH2",""
NA,"RAL1100047",10.3,694,"QUCH2",""
NA,"RAL1100047",10.3,695,"QUCH2",""
NA,"RAL1100047",10.3,696,"QUCH2",""
NA,"RAL1100047",10.3,697,"QUCH2",""
NA,"RAL1100047",10.3,698,"QUCH2",""
NA,"RAL1100047",10.3,699,"QUCH2",""
NA,"RAL1100047",15.8,700,"QUCH2",""
NA,"RAL1100012",38.3,701,"PIPO",""
NA,"RAL1100012",25.7,702,"PIPO",""
NA,"RAL1100012",36.6,703,"PIPO",""
NA,"RAL1100011",21.5,704,"PIPO",""
NA,"RAL1100011",61.2,705,"PIPO",""
NA,"RAL1100011",42.2,706,"PIPO",""
NA,"RAL1100042",15.4,707,"QUCH2",""
NA,"RAL1100042",15.5,708,"QUCH2",""
NA,"RAL1100042",22,709,"QUCH2",""
NA,"RAL1100042",14,710,"QUCH2",""
NA,"RAL1100042",17.3,711,"QUCH2",""
NA,"RAL1100510",13.9,712,"PIPO",""
NA,"RAL1100510",11.7,713,"PIPO",""
NA,"RAL1100510",3.5,714,"PIPO",""
NA,"RAL1100510",12.5,715,"PIPO",""
NA,"RAL1100510",12.2,716,"PIPO",""
NA,"RAL1100510",23.4,717,"PIPO",""
NA,"RAL1100510",3.8,718,"PIPO",""
NA,"RAL1100510",10.1,719,"PIPO",""
NA,"RAL1100510",7.4,720,"PIPO",""
NA,"RAL1100510",7,721,"PIPO",""
NA,"RAL1100510",7.4,722,"PIPO",""
NA,"RAL1100511",45,723,"QUKE",""
NA,"RAL1100511",22.4,724,"QUKE",""
NA,"RAL1100511",38,725,"QUKE",""
NA,"RAL1100550",42.9,726,"QUKE",""
NA,"RAL1100550",36.8,727,"QUKE",""
NA,"RAL1100550",15.4,728,"QUKE",""
NA,"RAL1100550",16,729,"QUKE",""
NA,"RAL1100550",35,730,"QUKE",""
NA,"RAL1100551",16.3,731,"QUKE",""
NA,"RAL1100551",6.2,732,"PILA",""
NA,"RAL1100551",15.6,733,"QUKE",""
NA,"RAL1100551",25.6,734,"QUKE",""
NA,"RAL1100551",10.8,735,"QUKE",""
NA,"RAL1100551",16.4,736,"QUKE",""
NA,"RAL1100551",5.1,737,"QUCH2",""
NA,"RAL1100471",14.2,738,"QUKE",""
NA,"RAL1100471",55,739,"PIPO",""
NA,"RAL1100471",42.3,740,"PIPO",""
NA,"RAL1100342",11.5,741,"QUKE",""
NA,"RAL1100342",8.7,742,"QUKE",""
NA,"RAL1100342",5.9,743,"QUKE",""
NA,"RAL1100342",11,744,"QUKE",""
NA,"RAL1100342",11.5,745,"QUKE",""
NA,"RAL1100341",15.4,746,"QUKE",""
NA,"RAL1100341",17.8,747,"QUKE",""
NA,"RAL1100341",17.2,748,"QUKE",""
NA,"RAL1100341",19,749,"QUKE",""
NA,"RAL1100341",36.2,750,"QUKE",""
NA,"RAL1100341",59.1,751,"QUKE",""
NA,"RAL1100341",15.6,752,"QUKE",""
NA,"RAL1100254",67.7,753,"PSME",""
NA,"RAL1100254",39.6,754,"PSME",""
NA,"RAL1100106",19.7,755,"QUKE",""
NA,"RAL1100106",28.5,756,"QUKE",""
NA,"RAL1100106",15.2,757,"QUCH2",""
NA,"RAL1100106",15.5,758,"QUCH2",""
NA,"RAL1100106",15.9,759,"QUCH2",""
NA,"RAL1100106",10.8,760,"QUCH2",""
NA,"RAL1100106",16.9,761,"QUCH2",""
NA,"RAL1100106",30.2,762,"QUCH2",""
NA,"RAL1100106",17.6,763,"QUCH2",""
NA,"RAL1100106",23.6,764,"QUCH2",""
NA,"RAL1100106",6.8,765,"PSME",""
NA,"RAL1100106",4.6,766,"PILA",""
NA,"RAL1100106",1.6,767,"PILA",""
NA,"RAL1100106",2.9,768,"PILA",""
NA,"RAL1100106",3.1,769,"PILA",""
NA,"RAL1100546",31.8,770,"ABCO",""
NA,"RAL1100546",26.7,771,"QUKE",""
NA,"RAL1100546",33.9,772,"QUKE",""
NA,"RAL1100586",154,773,"PSME",""
NA,"RAL1100586",130,774,"PSME",""
NA,"RAL1100585",78,775,"QUKE",""
NA,"RAL1100389",1,776,"QUKE",""
NA,"RAL1100389",1,777,"QUKE",""
NA,"RAL1100389",2.9,778,"QUKE",""
NA,"RAL1100389",4,779,"QUKE",""
NA,"RAL1100389",22.1,780,"PIPO",""
NA,"RAL1100389",28.3,781,"PIPO",""
NA,"RAL1100389",24.4,782,"PIPO",""
NA,"RAL1100389",8.4,783,"PSME",""
NA,"RAL1100389",9.5,784,"ACMA",""
NA,"RAL1100389",9.5,785,"ACMA",""
NA,"RAL1100389",9.5,786,"ACMA",""
NA,"RAL1100389",9.5,787,"ACMA",""
NA,"RAL1100389",9.5,788,"ACMA",""
NA,"RAL1100389",9.5,789,"ACMA",""
NA,"RAL1100389",9.5,790,"ACMA",""
NA,"RAL1100389",9.5,791,"ACMA",""
NA,"RAL1100389",9.5,792,"ACMA",""
NA,"RAL1100389",9.5,793,"ACMA",""
NA,"RAL1100389",9.5,794,"ACMA",""
NA,"RAL1101033",49.9,796,"QUKE",""
NA,"RAL1101034",33.7,797,"PIPO",""
NA,"RAL1101036",50.5,798,"PSME",""
NA,"RAL1101036",57.4,799,"PSME",""
NA,"RAL1101078",25.9,801,"QUCH2",""
NA,"RAL1101078",30.3,802,"QUCH2",""
NA,"BAR1111767",83.3,804,"QUKE",""
NA,"BAR1111767",16.5,805,"PIPO",""
NA,"BAR1111621",11.6,807,"QUCH2",""
NA,"BAR1111816",77.1,808,"PIPO",""
NA,"BAR1111714",31.4,809,"QUCH2",""
