"ID","Regen_Plot","OldPLOTID","Count_total","X0yr","Ct_1yr","Ct_2yr","Ct_3yr","Ct_4yr","Ct_5yr","X6yr","X7yr","X8yr","X9yr","X10yr","X11.yr","Type","Species","num_dead","seed_veg_plant","tallest_age","tallest_ht_cm","tallest_lastyr_cm","Remarks","number_sprouts","X11yr","X12yr","X13yr","X14yr","X15yr","X16yr","X17yr","X18yr","X19yr","X20.yr","unk_yr","quadrants","x21yr","x22yr","x23yr","x24yr","x25yr","x26yr"
3225,"SPA1010018",NA,21,NA,NA,NA,1,2,3,5,2,NA,1,3,4,"C","ABCO",NA,"S",10,100,3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3226,"SPA1010019",NA,13,4,NA,1,2,2,1,1,1,NA,NA,1,NA,"C","ABCO",NA,"S",10,96,16,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3227,"ANT1200086",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"C","PSME",NA,"S",9,100,7,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3228,"ANT1200087",NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"C","CADE27",NA,"S",7,130,10,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3229,"ANT1200098",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUKE",NA,"S",2,7,1,"",NA,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0
3230,"ANT1200098",NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"C","PSME",NA,"S",5,40,5,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3231,"ANT1200166",NA,7,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,"C","PSME",NA,"S",3,30,8,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3232,"ANT1200166",NA,3,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUKE",NA,"S",4,20,6,"",NA,0,0,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,0
3233,"ANT1200166",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"C","PIPO",NA,"S",3,22,4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3234,"ANT1200166",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"C","CADE27",NA,"S",5,93,9,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3235,"ANT1200306",NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"C","PSME",NA,"S",4,50,5,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3236,"ANT1201949",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PSME",NA,"S",1,9,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3237,"ANT1201951",NA,4,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,"C","PIPO",NA,"S",3,90,20,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3239,"ANT1202013",NA,9,NA,5,NA,1,1,NA,2,NA,NA,NA,NA,NA,"C","PIPO",NA,"S",6,130,17,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3240,"ANT1202019",NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"C","PIJE",NA,"S",5,47,12,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3241,"ANT1202082",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"C","PIPO",NA,"S",4,90,24,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3242,"ANT1202084",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PIPO",NA,"S",0,7,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3243,"ANT1202186",NA,4,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"C","PIPO",NA,"S",4,60,5,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3244,"ANT1202342",NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,"C","PIPO",NA,"S",4,70,21,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3245,"BAR1300001",NA,17,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUCH2",NA,"S",11,110,12,"",NA,0,0,0,0,0,0,0,0,0,0,17,NA,0,0,0,0,0,0
3246,"BAR1300002",NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PSME",NA,"S",2,12,6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3247,"BAR1300002",NA,4,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUKE",NA,"S",5,45,3,"",NA,0,0,0,0,0,0,0,0,0,0,4,NA,0,0,0,0,0,0
3248,"BAR1300002",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUCH2",NA,"S",5,21,3,"",NA,0,0,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,0
3249,"BAR1300003",NA,8,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUCH2",NA,"S",5,28,4,"",NA,0,0,0,0,0,0,0,0,0,0,8,NA,0,0,0,0,0,0
3250,"BAR1300003",NA,3,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,"C","PSME",NA,"S",5,30,3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3251,"BAR1300003",NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,"C","PILA",NA,"S",5,30,6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3252,"BAR1300004",NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,"C","PSME",NA,"S",6,35,4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3253,"BAR1300004",NA,12,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUCH2",NA,"S",15,130,17,"",NA,0,0,0,0,0,0,0,0,0,0,12,NA,0,0,0,0,0,0
3254,"BAR1300004",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUKE",NA,"S",5,30,2,"",NA,0,0,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,0
3255,"BAR1300005",NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"C","PILA",NA,"S",3,20,4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3256,"BAR1300005",NA,14,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUCH2",NA,"S",9,96,10,"",NA,0,0,0,0,0,0,0,0,0,0,14,NA,0,0,0,0,0,0
3257,"BAR1300005",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,"H","ACMA",NA,"S",12,135,8,"",NA,0,0,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,0
3258,"BAR1300005",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,"H","CONU4",NA,"S",5,30,5,"",NA,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0
3259,"BAR1300006",NA,7,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUCH2",NA,"S",8,31,4,"",NA,0,0,0,0,0,0,0,0,0,0,7,NA,0,0,0,0,0,0
3260,"BAR1300006",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUKE",NA,"S",8,43,5,"",NA,0,0,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,0
3261,"BAR1300007",NA,16,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUCH2",NA,"S",9,75,8,"",NA,0,0,0,0,0,0,0,0,0,0,16,NA,0,0,0,0,0,0
3262,"BAR1300007",NA,5,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUKE",NA,"S",3,22,4,"",NA,0,0,0,0,0,0,0,0,0,0,5,NA,0,0,0,0,0,0
3263,"BAR1300007",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,"H","ARME",NA,"S",6,42,8,"",NA,0,0,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,0
3264,"BAR1300007",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"C","PSME",NA,"S",4,20,5,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3265,"SIM1300008",NA,5,NA,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,"C","PSME",NA,"S",6,85,5,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3266,"SIM1300008",NA,9,0,0,0,0,0,0,0,0,0,0,0,0,"H","LIDE3",NA,"S",7,133,20,"",NA,0,0,0,0,0,0,0,0,0,0,9,NA,0,0,0,0,0,0
3267,"SIM1300008",NA,3,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUCH2",NA,"S",9,133,10,"",NA,0,0,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,0
3268,"SIM1300021",NA,13,NA,1,4,4,1,NA,3,NA,NA,NA,NA,NA,"C","PSME",NA,"S",6,25,3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3269,"SIM1300021",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,"H","ARME",NA,"S",2,15,8,"",NA,0,0,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,0
3270,"SIM1300021",NA,6,0,0,0,0,0,0,0,0,0,0,0,0,"H","LIDE3",NA,"S",4,27,8,"",NA,0,0,0,0,0,0,0,0,0,0,6,NA,0,0,0,0,0,0
3271,"SIM1300034",NA,10,0,0,0,0,0,0,0,0,0,0,0,0,"H","LIDE3",NA,"S",9,71,12,"",NA,0,0,0,0,0,0,0,0,0,0,10,NA,0,0,0,0,0,0
3272,"SIM1300034",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PSME",NA,"S",0,4,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3273,"SIM1300068",NA,6,0,0,0,0,0,0,0,0,0,0,0,0,"H","LIDE3",NA,"S",9,72,15,"",NA,0,0,0,0,0,0,0,0,0,0,6,NA,0,0,0,0,0,0
3274,"SIM1300068",NA,10,NA,1,3,5,NA,1,NA,NA,NA,NA,NA,NA,"C","PSME",NA,"S",5,23,3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3275,"SIM1300068",NA,8,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUCH2",NA,"S",9,120,4,"",NA,0,0,0,0,0,0,0,0,0,0,8,NA,0,0,0,0,0,0
3276,"SIM1300068",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUKE",NA,"S",3,40,5,"",NA,0,0,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,0
3277,"SIM1300081",NA,9,0,0,0,0,0,0,0,0,0,0,0,0,"H","LIDE3",NA,"S",11,135,10,"",NA,0,0,0,0,0,0,0,0,0,0,9,NA,0,0,0,0,0,0
3278,"SIM1300081",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUKE",NA,"S",2,10,5,"",NA,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0
3279,"SIM1300149",NA,5,0,0,0,0,0,0,0,0,0,0,0,0,"H","LIDE3",NA,"S",6,132,18,"",NA,0,0,0,0,0,0,0,0,0,0,5,NA,0,0,0,0,0,0
3280,"SIM1300149",NA,5,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUCH2",NA,"S",6,35,6,"",NA,0,0,0,0,0,0,0,0,0,0,5,NA,0,0,0,0,0,0
3281,"SIM1300149",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PSME",NA,"S",2,10,3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3282,"SIM1300157",NA,9,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUCH2",NA,"S",9,72,12,"",NA,0,0,0,0,0,0,0,0,0,0,9,NA,0,0,0,0,0,0
3283,"SIM1300157",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,"H","LIDE3",NA,"S",5,22,8,"",NA,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0
3284,"SIM1300157",NA,4,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PSME",NA,"S",2,10,5,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
