"ID","Regen_Plot","DBH..cm.","type","Species","X3.yr","X4yr","X5yr","X6yr","X7yr","X8yr","X9yr","X10yr","X11.yr","seed_veg_plant","tallest_ht_cm","tallest_age","tallest_lastyr_cm","number_sprouts","age","possibly_survived_fire"
319,"PNT1000040","16.2","c","PIPO",NA,NA,NA,NA,NA,NA,NA,1,NA,"P",600,10,NA,0,NA,NA
324,"PNT1000040",".5","h","CONU4",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",200,6,NA,0,NA,NA
333,"PNT1000079","2.7","c","PIPO",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",230,8,NA,0,NA,NA
334,"PNT1000079","1","h","ARME",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",175,6,NA,0,NA,NA
340,"PNT1000062","2.5","h","QUCH2",NA,NA,NA,NA,NA,NA,NA,1,NA,"S",270,10,NA,0,NA,NA
345,"PNT1000104","2.5","h","LIDE3",NA,NA,NA,NA,NA,NA,1,NA,NA,"S",250,9,NA,0,NA,NA
350,"PNT1000011","4.2","c","PIPO",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",310,8,NA,0,NA,NA
351,"PNT1000011","1.5","h","ARME",NA,NA,1,NA,NA,NA,NA,NA,NA,"S",210,5,NA,0,NA,NA
352,"PNT1000011","3.2","h","ARME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",450,7,NA,2,NA,NA
353,"PNT1000011","1.5","h","CONU4",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",230,6,NA,0,NA,NA
354,"PNT1000011",".5","h","ARME",NA,NA,1,NA,NA,NA,NA,NA,NA,"S",180,5,NA,1,NA,NA
356,"PNT1000010","1.1","h","ARME",NA,NA,1,NA,NA,NA,NA,NA,NA,"S",210,5,NA,0,NA,NA
357,"PNT1000010","1.2","h","ARME",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",200,8,NA,0,NA,NA
360,"PNT1000022","2.1","c","CADE27",NA,NA,NA,NA,NA,NA,1,NA,NA,"S",260,9,NA,0,NA,NA
362,"PNT1000022","5.3","h","LIDE3",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",380,8,NA,0,NA,NA
365,"PNT1000014","3.1","c","PIPO",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",250,8,NA,0,NA,NA
367,"PNT1000014",".8","h","ARME",1,NA,NA,NA,NA,NA,NA,NA,NA,"S",180,NA,NA,0,NA,NA
368,"PNT1000014","1.7","h","CONU4",NA,NA,NA,NA,NA,NA,1,NA,NA,"S",270,9,NA,0,NA,NA
369,"PNT1000014",".6","h","ARME",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",190,6,NA,0,NA,NA
372,"PNT1000014","1","h","ARME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",210,7,NA,0,NA,NA
374,"PNT1000014","2","h","ARME",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",220,8,NA,0,NA,NA
376,"PNT1000014","3.4","h","ARME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",400,7,NA,0,NA,NA
383,"PNT1000021","2.1","h","LIDE3",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",450,8,NA,0,NA,NA
388,"PNT1000021","1","h","LIDE3",NA,NA,NA,NA,NA,NA,1,NA,NA,"S",230,9,NA,0,NA,NA
393,"PNT1000021","1.5","h","CONU4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",200,NA,NA,0,NA,NA
394,"PNT1000021","1.2","h","CONU4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",250,NA,NA,0,NA,NA
396,"PNT1000042","8.2","h","LIDE3",NA,NA,NA,NA,NA,NA,NA,NA,1,"S",550,11,NA,0,NA,NA
405,"PNT1000048","1.55","h","QUCH2",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",150,6,NA,0,NA,NA
407,"PNT1000030","4.2","c","PIPO",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",300,7,NA,0,NA,NA
411,"PNT1000030","2.1","h","CONU4",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",400,8,NA,1,NA,NA
413,"PNT1000030","1","h","LIDE3",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",210,6,NA,0,NA,NA
414,"PNT1000030","1.5","h","CONU4",NA,NA,NA,NA,NA,NA,1,NA,NA,"S",230,9,NA,0,NA,NA
415,"PNT1000030",".4","h","LIDE3",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",180,6,NA,0,NA,NA
417,"PNT1000030","60","c","PIPO",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",520,8,NA,0,NA,NA
426,"PNT1000133","13.2","c","PIPO",NA,NA,NA,NA,NA,NA,1,NA,NA,"S",580,9,NA,NA,NA,NA
427,"PNT1000133","9.8","c","PIPO",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",400,8,NA,NA,NA,NA
428,"PNT1000006",".5","h","ARME",NA,NA,NA,1,1,NA,NA,NA,NA,"S",152,7,NA,0,NA,NA
430,"PNT1000006","1.1","h","CONU4",NA,NA,NA,NA,1,1,NA,NA,NA,"S",210,8,NA,6,NA,NA
431,"PNT1000006","1","c","PIPO",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",180,6,NA,0,NA,NA
432,"PNT1000006","2.8","c","PIPO",NA,NA,NA,NA,NA,1,NA,NA,NA,"P",220,8,NA,0,NA,NA
434,"PNT1000004","5.2","c","PSME",NA,NA,NA,NA,NA,NA,NA,3,NA,"P",500,10,NA,0,NA,NA
436,"PNT1000007","1","c","PIPO",NA,NA,NA,NA,NA,1,NA,NA,NA,"P",200,8,NA,0,NA,NA
438,"PNT1000007","6.4","h","CONU4",NA,NA,NA,NA,NA,NA,NA,1,NA,"S",450,10,NA,0,NA,NA
439,"PNT1000007","3.5","h","LIDE3",NA,NA,NA,NA,NA,NA,NA,1,NA,"S",400,10,NA,0,NA,NA
440,"PNT1000007","5.3","c","PIPO",NA,NA,NA,NA,NA,1,NA,NA,NA,"P",500,8,NA,0,NA,NA
442,"PNT1000075","2.6","h","CONU4",NA,NA,NA,NA,NA,NA,NA,1,NA,"S",400,10,NA,0,NA,NA
449,"PNT1000009","1","h","ARME",NA,NA,NA,5,3,NA,NA,NA,NA,"S",200,7,NA,1,NA,NA
450,"PNT1000009",".5","c","PIPO",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",120,8,NA,0,NA,NA
451,"PNT1000009","1","c","CADE27",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",210,8,NA,0,NA,NA
452,"PNT1000012","1.5","h","ARME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",300,7,NA,0,NA,NA
476,"PNT1000118","1","h","ARME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",195,7,NA,0,NA,NA
478,"PNT1000033","1","c","PIPO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",170,NA,NA,0,NA,NA
479,"PNT1000033","1","h","ARME",NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",180,NA,NA,0,NA,NA
500,"PNP1000042","7.4","c","PSME",NA,NA,NA,NA,NA,NA,NA,NA,1,"S",620,11,NA,0,NA,NA
508,"PNP1000037","1.8","h","LIDE3",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",220,7,NA,1,NA,NA
509,"PNP1000037","5.7","h","ARME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",500,7,NA,0,NA,NA
510,"PNP1000037","2.5","c","PIPO",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",220,7,NA,0,NA,NA
511,"PNP1000037","5.9","h","ARME",NA,NA,NA,NA,NA,NA,1,NA,NA,"S",550,9,NA,0,NA,NA
512,"PNP1000037","4.9","h","ARME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",450,7,NA,0,NA,NA
514,"PNP1000037","4.8","h","ARME",NA,NA,1,NA,NA,NA,NA,NA,NA,"S",450,5,NA,0,NA,NA
515,"PNP1000037","2","h","ARME",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",220,8,NA,0,NA,NA
516,"PNP1000037","7.1","c","PIPO",NA,NA,NA,NA,NA,NA,1,NA,NA,"S",450,9,NA,0,NA,NA
518,"PNP1000037","2","c","PILA",NA,NA,NA,NA,NA,NA,1,NA,NA,"S",200,9,NA,0,NA,NA
519,"PNP1000037","1.7","h","LIDE3",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",210,7,NA,0,NA,NA
521,"PNP1000037","1.2","c","PILA",NA,NA,NA,NA,NA,NA,1,NA,NA,"S",210,9,NA,0,NA,NA
