"Regen_Plot","ID","Fire","Date","Observers","Year.of.Fire","Photos","Datum","Easting","Northing","aspect","slope","parent1","parent2","BARE","ROCK","VEG..BASAL..10.","LITT","CWD","SHRUB","FORBE","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","HIST1","HIST2","HIST3","DUFF_cm","LITT_cm","BA_total_count","BA_live_count","BA_dead_count","NOTES","HERBS","UNDERSTORY.VEG","TREE_live.only","BAF","BA.Total1","BA.Live1","BA.Dead1","dominant_shrub_ht_cm","seed_tree_distance_general","fire.prefix","seed_tree_distance_conifer","seed_tree_distance_hardwood","seed_wall_distance","dominant_tree_1","dominant_tree_2","dominant_tree_3","fire_killed_trees_2.15","fire_killed_trees_15.30","fire_killed_trees_30.45","fire_killed_trees_45.60","fire_killed_trees_60.","dominant_shrub_1","dominant_shrub_2","new_or_revisit","burn_or_control","revisit_relocated_precisely","entered_by","entered_on","dominant_shrub_3"
"CUB1300254",2453,"CUB","7/16/2013 0:00:00","CP, MS, NO",2008,"990 NO","NAD83 UTM zone 10",631166.04,4451767.49,238,30,"GRANITE","",5,10,0.5,80,5,5,5,0,0,0,5,0,"1",5,"",NA,NA,0,2,4,0,4,"",5,10,0,20,80,0,80,30,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300256",2454,"CUB","7/25/2013 0:00:00","CP, PB",2008,"256 CUB CPP","NAD83 UTM zone 10",631175.01,4451368.09,259,33,"GRANITE","",25,10,0.5,60,5,58,0,0,0,0.5,2,0,"1",4,"",NA,NA,0,1,6,0,6,"",0,58,0.5,20,120,0,120,120,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300258",2455,"CUB","7/25/2013 0:00:00","MS, NO",2008,"1050 NO","NAD83 UTM zone 10",631194.53,4450968.4,287,37,"GRANITE","",0.5,35,0.5,58,7,NA,NA,NA,NA,NA,NA,NA,"1",4,"",NA,NA,0.5,4,7,1,6,"COVER ESTIMATES NR",NA,NA,NA,20,140,20,120,40,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300259",2456,"CUB","7/25/2013 0:00:00","MS, NO",2008,"1049 NO","NAD83 UTM zone 10",631204.14,4450767.56,32,17,"GRANITE","",3,2,0.5,88,7,22,30,0,0,0,1,0,"1",5,"",NA,NA,0,3,9,0,9,"",30,50,0,20,180,0,180,80,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300272",2457,"CUB","7/16/2013 0:00:00","CP, MS, NO",2008,"989 NO","NAD83 UTM zone 10",631362.4,4451778.26,352,25,"GRANITE","",0.5,10,0.5,80,10,2,0.5,0,0,1,18,0,"1",4,"",NA,NA,0.5,1.5,12,0,12,"",0.5,3,1,20,240,0,240,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300273",2458,"CUB","7/16/2013 0:00:00","CP, NO, MS",2008,"986 NO","NAD83 UTM zone 10",631368.42,4451579.96,270,29,"GRANITE","",0.5,3,1,92,4,45,0,0,0,12,6,12,"1",3,"",NA,NA,0.5,2,7,3,4,"",0,45,12,20,140,60,80,30,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300274",2459,"CUB","7/16/2013 0:00:00","CP, NO, MS",2008,"985 NO","NAD83 UTM zone 10",631380.25,4451375.51,262,25,"GRANITE","",25,20,0.5,54,1,55,0,0,0,0,2,0,"1",5,"",NA,NA,0,0.5,6,0,6,"BAF 5",0,55,0,5,30,0,30,45,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300275",2460,"CUB","7/25/2013 0:00:00","CP, PB",2008,"275 CUB CPP","NAD83 UTM zone 10",631386.05,4451175.45,138,11,"GRANITE","",30,30,0.5,36,4,36,2,0,0,0,4,0,"1",4,"",NA,NA,0,0.5,6,0,6,"BAF 10",2,38,0,10,60,0,60,100,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300276",2461,"CUB","7/25/2013 0:00:00","CP, PB",2008,"276 CPP","NAD83 UTM zone 10",631390.67,4450976.87,122,25,"GRANITE","",1,5,0.5,92,2,19,2,0,0,8,0,8,"1",4,"",NA,NA,0.5,1.5,7,2,5,"BAF 5",2,22,8,5,35,10,25,35,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300277",2462,"CUB","7/25/2013 0:00:00","MS, NO",2008,"1048 NO","NAD83 UTM zone 10",631398.86,4450777.14,103,28,"GRANITE","",3,1,0.5,94,2,45,3,0,0,0,0,0,"1",3,"",NA,NA,0,2,7,4,3,"BAF 10",3,45,0,10,70,40,30,90,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300280",2463,"CUB","7/18/2013 0:00:00","CP, NO, MS",2008,"1019 NO","NAD83 UTM zone 10",631459.57,4454976.89,308,25,"GRANITE","",2,30,0.5,55,13,25,20,1,0,4,0,0,"1",5,"",NA,NA,0,7,10,0,10,"",21,45,4,20,200,0,200,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300281",2464,"CUB","7/18/2013 0:00:00","CP, NO, MS",2008,"1018 NO","NAD83 UTM zone 10",631464.56,4454779.83,330,22,"GRANITE","",4,0.5,0.5,85,11,20,30,0.5,0,3,0,0,"1",4,"",NA,NA,0,3,10,1,9,"BAF 10",30,50,3,10,100,10,90,45,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300282",2465,"CUB","7/22/2013 0:00:00","MS, NO, PB",2008,"1020 NO","NAD83 UTM zone 10",633264.38,4454834.81,108,32,"GRANITE","",5,5,1,87,2,41,0.5,1,0,20,2,10,"1",1,"",NA,NA,0.5,1,5,4,1,"",1,40,20,20,100,80,20,50,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
