"Regen_Plot","firesev","dist.to.low"
"HAR1000049",3,0
"HAR1000047",3,2.34657571257473
"HAR1000045",3,0
"HAR1000041",2,0
"HAR1000042",3,0
"HAR1000043",2,0
"HAR1000044",2,0
"HAR1000046",2,0
"HAR1000063",2,1.04061364598306
"HAR1000052",2,0
"HAR1000061",4,22.4331645141356
"HAR1000058",2,0
"HAR1000057",3,0
"HAR1000056",4,42.841657471291
"HAR1000055",3,0
"HAR1000051",4,32.274215573074
"HAR1000053",4,15.680844896473
"HAR1000054",2,9.01702211257864
"HAR1000059",1,0
"HAR1000001",2,0
"HAR1000005",3,5.1574995405972
"HAR1000004",4,18.0883736158721
"HAR1000002",2,0
"HAR1000067",3,0
"HAR1000066",3,8.69739720405114
"HAR1000064",1,0
"HAR1000065",4,48.6947852150187
"HAR1000062",3,0
"HAR1000060",3,0
"HAR1000035",1,0
"HAR1000038",2,0
"HAR1000039",2,0
"HAR1000036",3,18.660587933775
"HAR1000037",3,15.8309091198406
"HAR1000040",3,6.79495506640524
"HAR1000025",3,0
"HAR1000023",2,0
"HAR1000020",4,34.3136255827048
"HAR1000019",1,0
"HAR1000017",2,0
"HAR1000022",1,0
"HAR1000018",3,0
"HAR1000027",2,0
"HAR1000026",2,0
"HAR1000031",2,0
"HAR1000028",2,0
"HAR1000032",1,0
"HAR1000030",2,0
"HAR1000033",1,0
"HAR1000034",1,0
"HAR1000021",2,0
"HAR1000003",3,10.4991895649582
"HAR1000029",3,0
"HAR1000006",4,32.622632586131
"HAR1000007",2,13.8807843392715
"HAR1000008",1,0
"HAR1000009",2,0
"HAR1000010",2,0
"HAR1000011",2,0
"HAR1000012",2,0
"HAR1000013",2,0
"HAR1000014",3,0
"HAR1000015",4,20.0893638577253
"HAR1000024",2,0
"HAR1010004",0,0
"HAR1010005",2,0
"HAR1010006",0,0
"HAR1010007",0,0
"HAR1010008",0,0
"HAR1010009",0,0
"HAR1010010",0,0
"SIM1000056",3,2.90256885712335
"SIM1000051",4,67.5225029025657
"SIM1000047",3,1.03958435564761
"SIM1000061",4,206.04740792302
"SIM1000060",4,150.318423716984
"SIM1000065",3,10.4567067343742
"SIM1000045",4,98.5887365257367
"SIM1000054",4,160.023111511755
"SIM1000098",3,0.361645820688721
"SIM1000062",4,107.466329787429
"SIM1000090",3,13.5182052406248
"SIM1000094",4,26.005662182346
"SIM1000089",4,149.292142851278
"SIM1000093",4,32.5090726904968
"SIM1000068",4,41.1245061614448
"SIM1000091",4,15.9679220463149
"SIM1000086",4,243.669677224653
"SIM1000069",4,83.6707459002171
"SIM1000044",4,139.735383665954
"SIM1000049",4,108.097951184602
"SIM1000036",4,175.511666415121
"SIM1000029",4,252.611377453588
"SIM1000011",4,174.056637163023
"SIM1000021",4,287.264244660889
"SIM1000006",4,107.773394834607
"SIM1000088",4,56.3997264954678
"SIM1000092",3,13.5107177960945
"SIM1000095",3,10.0781069071963
"SIM1000096",4,38.1178028270402
"SIM1000085",4,57.5886347930938
"SIM1000001",2,0
"SIM1000003",4,17.5205727107823
"SIM1000041",4,52.0493099095922
"SIM1000033",3,5.93000298505649
"SIM1000032",4,212.028751754045
"SIM1000024",4,185.756970106311
"SIM1000014",0,0
"SIM1000002",3,8.93757102612926
"SIM1000007",4,183.714049878526
"SIM1000038",4,99.2514595879877
"SIM1000016",4,53.1802978674157
"SIM1000070",4,31.2208876480334
"SIM1000071",4,33.3784017633255
"SIM1000074",4,126.628597242817
"SIM1000063",4,212.489248645839
"SIM1000055",4,66.6958307415943
"SIM1000050",4,206.819581092913
"SIM1000042",4,30.4692104417839
"SIM1000025",4,79.106149304223
"SIM1000034",4,34.1336643433482
"SIM1000015",4,49.032209638952
"SIM1000039",4,18.6012544766186
"SIM1000008",4,63.2784008507309
"SIM1000046",4,135.509716093897
"SIM1000012",4,194.430352339585
"SIM1000013",4,315.296255786928
"SIM1000022",4,143.756335938234
"SIM1000023",4,265.943616175069
"SIM1000031",4,100.712253726171
"SIM1000037",4,175.182801719716
"SIM1000009",3,0
"SIM1000017",4,48.0473417112682
"SIM1000026",4,60.1017019244406
"SIM1000030",4,63.536213968907
"SIM1000058",4,109.862056024951
"SIM1000027",3,0
"SIM1000028",4,140.474314495123
"SIM1000076",4,195.620433383788
"SIM1000075",4,56.2888319231672
"SIM1000079",4,228.562218335133
"SIM1000080",4,197.722874812619
"SIM1000018",3,0
"SIM1000019",4,37.3146825237336
"SIM1000083",4,85.406579928324
"SIM1000082",4,268.280724670127
"SIM1000072",4,115.060471574814
"SIM1000073",3,8.12955191778019
"SIM1000097",4,14.8468416565826
"SIM1000059",4,113.22538529918
"SIM1000078",4,139.956363288441
"SIM1000081",3,5.16565404014364
"SIM1000043",4,79.5648975948161
"SIM1000048",4,45.2589395063476
"SIM1000005",3,9.66926780575886
"SIM1000052",4,88.1336313412587
"SIM1000053",4,40.5019811119478
"SIM1000084",4,41.3793330176286
"SIM1000087",4,112.668275783298
"SIM1300008",0,0
"SIM1300021",2,0
"SIM1300034",0,0
"SIM1300068",1,0
"SIM1300081",0,0
"SIM1300149",0,0
"SIM1300157",0,0
"SIM1300168",0,0
"SIM1300170",0,0
"SIM1300175",0,0
"SIM1300176",0,0
"SIM1300180",0,0
"BST1100326",3,17.8028835457139
"BST1100329",3,12.43660059385
"BST1100328",2,0
"BST1100327",4,15.1213424033485
"BST1100332",3,0
"BST1100347",4,42.4036300876702
"BST1100350",2,0
"BST1100351",1,0
"BST1100349",2,0
"BST1100354",4,22.1693713921122
"BST1100270",4,59.5428535201784
"BST1100269",4,159.055224378406
"BST1100282",4,8.91167402665416
"BST1100283",4,29.4560337490402
"BST1100284",2,0
"BST1100265",4,105.551852074896
"BST1100263",4,16.2661456902022
"BST1100264",3,2.68422099854797
"BST1100266",4,111.038213359686
"BST1100267",4,110.684852273555
"BST1100268",4,17.0416097841226
"BST1100304",3,5.68434476868319
"BST1100305",4,30.284939938653
"BST1100004",3,0
"BST1100005",3,0
"BST1100014",0,0
"BST1100024",4,27.1676124612997
"BST1100025",2,0
"BST1100026",0,0
"BST1100043",4,46.9898290451973
"BST1100046",4,87.2728962758831
"BST1100047",2,3.97242870274931
