Regen_Plot,Fire,fire.year,SHRUB,GRASS,FIRE_SEV,Year,survey.years.post,rad.march,tmean.normal,ppt.normal,diff.norm.ppt.z,diff.norm.ppt.min.z,seed_tree_distance_general,diff.norm.ppt.z.1,diff.norm.tmean.z,diff.norm.tmean.max.z,def.normal,aet.normal,diff.norm.def.z,diff.norm.aet.z,diff.norm.def.max.z,diff.norm.aet.min.z,snow.normal,diff.norm.snow.z,diff.norm.snow.min.z,dominant_shrub_ht_cm,ppt.normal.sq,tmean.normal.sq,snow.normal.sq,FIRE_SEV.cat
PWR0900282,Power,2004,80,5,5,2009,5,7485.13752174124,12.9577908451612,1149.42941195881,0.556638680901267,-0.835476572794986,15.65,0.556638680901267,-0.062551685379335,0.350275257648058,650.695887325509,663.212640306523,-0.277939860168529,0.334176099766874,0.842174762575143,-0.787778372634778,66.4470673841686,0.045374732139209,-0.902876870612471,30,1321187.97307598,167.904343586943,4415.21276395624,high.sev
PWR0900283,Power,2004,32,15,4,2009,5,7658.22934033525,12.9799930159164,1148.82245343338,0.559507066722402,-0.834891783591821,28.13,0.559507066722402,-0.061017564942543,0.351519467734261,650.550726677201,663.188713792537,-0.279495039915512,0.335934009664866,0.840523924170578,-0.785104607324239,68.76538916859,0.050554656070662,-0.913544912362291,30,1319793.02951269,168.480218693238,4728.67874750764,high.sev
PWR1300103,Power,2004,33,1,0,2013,9,6902.3863531788,13.2561663363814,1146.93333349681,0.554343108103465,-0.834250891127773,3.6,0.554343108103465,0.014179076621414,0.412932315532449,640.559791356838,661.681060887093,-0.283539292381296,0.341717828691033,0.850643961081394,-0.767988425878707,122.483238600072,0.167334987036034,-1.0677537799748,25,1315456.0714861,175.725945937811,15002.1437379622,control
PWR1300104,Power,2004,0,0,0,2013,9,6615.81472007236,13.2830166102258,1147.8591480574,0.553247425471634,-0.8340276180076,1.8,0.553247425471634,0.018960250811659,0.414673996258698,640.181576773276,661.536324150743,-0.282296458552688,0.340407708095464,0.851309931985434,-0.767311856891979,126.449680836478,0.184955243711573,-1.03831831423191,NA,1317580.62377906,176.438530267535,15989.5217836472,control
PWR1300112,Power,2004,0,0,0,2013,9,7112.85460156909,13.2241752640951,1146.41828730164,0.555403803298996,-0.832587161394536,4.2,0.555403803298996,0.00899187294048,0.4120051424627,640.506991837122,661.617252895322,-0.284518758682867,0.342360271148266,0.850243780785166,-0.766407128456557,131.277457476903,0.191935185042082,-1.02974843374305,NA,1314274.88945963,174.878811415505,17233.7708416001,control
PWR1300291,Power,2004,3,0,0,2013,9,6655.68679722928,11.6810728571061,1224.05363756753,0.560955304333119,-0.823260629128519,6,0.560955304333119,-0.066727409928376,0.385509538156882,636.261467180272,662.636689796288,-0.301191338964138,0.351004543195266,0.806247568717426,-0.708584953418653,185.673958201559,0.28908691917979,-1.04939051001106,63,1498307.3076423,136.447463093021,34474.8187542343,control
PWR1300292,Power,2004,7,0,0,2013,9,6826.92346778362,11.6738822371787,1228.7914528063,0.561827246382636,-0.822094428953547,0.5,0.561827246382636,-0.067970961745793,0.383878208987507,636.226518170164,662.592298146321,-0.301160732171559,0.351188162400244,0.806550146883405,-0.708565636566279,186.981573494612,0.287298859690688,-1.04269356386494,110,1509928.43448982,136.279526487516,34962.108826521,control
PWR1300308,Power,2004,0,0,0,2013,9,6584.34958650859,11.663367259573,1221.46476246016,0.558576612919426,-0.82319518112256,1,0.558576612919426,-0.066357613527813,0.390302978784076,635.329487210925,662.483302364669,-0.299193121409936,0.348594730954431,0.803771904824546,-0.703402010437858,189.187400519465,0.295860441962279,-1.0539675886108,NA,1491976.16593186,136.034135831679,35791.8725153125,control
PWR1300309,Power,2004,0,0.5,0,2013,9,6621.09995446256,11.6504536474641,1223.22450450348,0.559387272509336,-0.822053692135575,3.3,0.559387272509336,-0.067353356465396,0.389015391490162,635.26734508345,662.428133671526,-0.299083519427137,0.348678843639372,0.804008740927979,-0.703221897978257,190.511675677367,0.294085273770933,-1.04716048418738,NA,1496278.18841778,135.73307019171,36294.6985693983,control
PWR1300546,Power,2004,2,0,0,2013,9,4959.02140980129,10.0341503571223,1308.06217092242,0.544986352114656,-0.804037240693592,1.8,0.544986352114656,-0.047468120852456,0.438728472991142,622.798113078555,645.245531328797,-0.205969044920176,0.251614999988535,0.823316617464842,-0.641558035828971,289.313702836796,0.369160434894438,-0.540955597841604,20,1711026.64299827,100.684173389338,83702.4186491379,control
PWR1300548,Power,2004,3,0,0,2013,9,4679.27219375208,9.85085143568341,1320.91099002181,0.542259708010727,-0.805213403866359,0.5,0.542259708010727,-0.049705033919953,0.443984568201044,621.556377882141,643.610379159484,-0.195345190492433,0.238675869457289,0.825425158193005,-0.634722281089063,293.406258793767,0.379777207071321,-0.504527101461995,20,1744805.8435604,97.0392740079059,86087.232699355,control
PWR1300569,Power,2004,40,0,0,2013,9,5585.61898797089,10.052700785294,1299.63392504822,0.547126055552147,-0.801412418841826,0.9,0.547126055552147,-0.049966173541274,0.433597448620405,623.312934452608,645.967338914618,-0.214705696955625,0.262154071510457,0.817712311719368,-0.638857028659548,288.174960803409,0.358865568122863,-0.573473684060134,33,1689048.33913624,101.056793078651,83044.8080340463,control
PWR1300571,Power,2004,60,0,0,2013,9,5163.42916795375,10.1189869294272,1305.93451140896,0.544778043197367,-0.802567279589068,6.7,0.544778043197367,-0.040276017496578,0.437731246336899,622.21201911153,644.556783102815,-0.205058289898304,0.25037737109586,0.819977384175737,-0.633553029026983,291.586342327257,0.368320765236447,-0.541585872913951,70,1705464.94808896,102.393896477919,85022.5950317883,control
