Regen_Plot,species,regen.count.old,regen.count.all,adult.count,adult.ba,tallest_ht_cm,regen.presab.old,regen.presab.all
BAG1626,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1633,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1640,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1651,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1654,ABCO,0,0,1,83.28065,NA,FALSE,FALSE
BAG1658,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1659,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1661,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1669,ABCO,0,0,2,7808.9602,NA,FALSE,FALSE
BAG1677,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1678,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1679,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1683,ABCO,0,0,3,241.5759,NA,FALSE,FALSE
BAG1693,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1702,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1703,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1719,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1723,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1733,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1747,ABCO,0,0,1,113.04,NA,FALSE,FALSE
BAG1766,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1784,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1791,ABCO,0,0,1,56.71625,NA,FALSE,FALSE
BAG1810,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1814,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1821,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1822,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1829,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1838,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1844,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1851,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1855,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1860,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1861,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1870,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100004,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100014,ABCO,0,0.8,0,0,15,FALSE,TRUE
BST1100043,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100046,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100047,ABCO,0.666666666666667,0.4,0,0,27,TRUE,TRUE
BST1100051,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100063,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100064,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100066,ABCO,0,0,1,1338.96665,NA,FALSE,FALSE
BST1100067,ABCO,0.666666666666667,0.4,0,0,17,TRUE,TRUE
BST1100068,ABCO,2.33333333333333,18,0,0,18,TRUE,TRUE
BST1100069,ABCO,4.33333333333333,4.4,0,0,30,TRUE,TRUE
BST1100070,ABCO,0.666666666666667,1.2,0,0,11,TRUE,TRUE
BST1100086,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100087,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100095,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100109,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100110,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100111,ABCO,0,0.4,0,0,10,FALSE,TRUE
BST1100112,ABCO,0,0.2,0,0,10,FALSE,TRUE
BST1100117,ABCO,0,0.4,4,7787.6239,10,FALSE,TRUE
BST1100119,ABCO,2.66666666666667,2,0,0,30,TRUE,TRUE
BST1100134,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100135,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100136,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100143,ABCO,0,0,1,379.94,NA,FALSE,FALSE
BST1100144,ABCO,0,1,0,0,6,FALSE,TRUE
BST1100159,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100160,ABCO,0,0.4,0,0,21,FALSE,TRUE
BST1100162,ABCO,0.666666666666667,1.4,0,0,51,TRUE,TRUE
BST1100163,ABCO,0.333333333333333,2,0,0,80,TRUE,TRUE
BST1100174,ABCO,0,1,1,2732.585,12,FALSE,TRUE
BST1100175,ABCO,0,0.2,1,1268.5914,8,FALSE,TRUE
BST1100177,ABCO,1.33333333333333,0.8,1,637.61625,65,TRUE,TRUE
BST1100178,ABCO,0.333333333333333,0.2,0,0,45,TRUE,TRUE
BST1100185,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100193,ABCO,0,0.8,0,0,30,FALSE,TRUE
BST1100195,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100196,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100200,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100203,ABCO,0,0,2,5317.50365,12,FALSE,FALSE
BST1100205,ABCO,4.33333333333333,3.2,1,2760.44465,50,TRUE,TRUE
BST1100210,ABCO,1.66666666666667,1.6,1,283.385,55,TRUE,TRUE
BST1100212,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100213,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100214,ABCO,0.333333333333333,2.4,2,1391.177,21,TRUE,TRUE
BST1100229,ABCO,0,0,1,1397.9594,NA,FALSE,FALSE
BST1100234,ABCO,0.333333333333333,0.4,1,138.85865,125,TRUE,TRUE
BST1100235,ABCO,0.666666666666667,0.4,2,373.79345,128,TRUE,TRUE
BST1100255,ABCO,2.66666666666667,1.8,12,2303.9907,155,TRUE,TRUE
BST1100263,ABCO,1,1,0,0,17,TRUE,TRUE
BST1100264,ABCO,0.333333333333333,1.2,0,0,20,TRUE,TRUE
BST1100268,ABCO,0,0,1,793.8234,65,FALSE,FALSE
BST1100277,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100282,ABCO,0,0,2,1850.37845,NA,FALSE,FALSE
BST1100283,ABCO,1,0.8,0,0,40,TRUE,TRUE
BST1100284,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100285,ABCO,0,8.4,0,0,7,FALSE,TRUE
BST1100286,ABCO,0,0,9,3652.80125,NA,FALSE,FALSE
BST1100287,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100288,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100289,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100291,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100298,ABCO,1.66666666666667,10,0,0,100,TRUE,TRUE
BST1100304,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100305,ABCO,0,0.2,0,0,20,FALSE,TRUE
BST1100307,ABCO,5,15.8,0,0,24,TRUE,TRUE
BST1100308,ABCO,0,0,0,0,17,FALSE,FALSE
BST1100309,ABCO,0,0,8,5191.55825,NA,FALSE,FALSE
BST1100310,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100311,ABCO,0,0.6,1,78.5,20,FALSE,TRUE
BST1100312,ABCO,0,0,1,2714.0904,4,FALSE,FALSE
BST1100313,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100318,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100331,ABCO,0,0,4,1206.545,NA,FALSE,FALSE
BST1100332,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100333,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100349,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100350,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100351,ABCO,0,0,3,4223.0959,NA,FALSE,FALSE
BST1100352,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100353,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100354,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100360,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100361,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100362,ABCO,15,20.6,0,0,15,TRUE,TRUE
BST1100363,ABCO,0,0,2,162.4165,NA,FALSE,FALSE
BST1100364,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100366,ABCO,0,0,1,72.3456,NA,FALSE,FALSE
BST1100367,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100368,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100376,ABCO,0,0,0,0,NA,FALSE,FALSE
BST1100377,ABCO,15,20.2,0,0,13,TRUE,TRUE
BST1100380,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300020,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300021,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300024,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300026,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300027,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300028,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300032,ABCO,2.66666666666667,4.6,0,0,135,TRUE,TRUE
BTU1300033,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300034,ABCO,0,0.2,0,0,13,FALSE,TRUE
BTU1300035,ABCO,0.333333333333333,0.4,0,0,15,TRUE,TRUE
BTU1300038,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300040,ABCO,0.666666666666667,0.4,0,0,33,TRUE,TRUE
BTU1300045,ABCO,0,0.2,0,0,11,FALSE,TRUE
BTU1300047,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300050,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300051,ABCO,0,0.8,0,0,15,FALSE,TRUE
BTU1300054,ABCO,6.66666666666667,14,0,0,15,TRUE,TRUE
BTU1300061,ABCO,26.6666666666667,16,0,0,50,TRUE,TRUE
BTU1300063,ABCO,5,23,0,0,15,TRUE,TRUE
BTU1300066,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300067,ABCO,0,2.6,0,0,19,FALSE,TRUE
BTU1300071,ABCO,0.666666666666667,0.4,0,0,17,TRUE,TRUE
BTU1300073,ABCO,2.66666666666667,3.6,0,0,50,TRUE,TRUE
BTU1300076,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300079,ABCO,0.333333333333333,2.4,0,0,17,TRUE,TRUE
BTU1300081,ABCO,4.66666666666667,2.8,0,0,13,TRUE,TRUE
BTU1300084,ABCO,1.33333333333333,1.2,0,0,NA,TRUE,TRUE
BTU1300085,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300086,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300087,ABCO,0,0,1,1017.36,NA,FALSE,FALSE
BTU1300095,ABCO,2.33333333333333,5.4,0,0,20,TRUE,TRUE
BTU1300096,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300098,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300108,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300109,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300111,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300112,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300115,ABCO,0,12,0,0,13,FALSE,TRUE
BTU1300116,ABCO,0,0.4,1,2163.65625,13,FALSE,TRUE
BTU1300119,ABCO,0,0.8,1,143.06625,5,FALSE,TRUE
BTU1300121,ABCO,0.333333333333333,1.8,0,0,NA,TRUE,TRUE
BTU1300122,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300125,ABCO,0,0,2,368.51825,6,FALSE,FALSE
BTU1300126,ABCO,1.66666666666667,1.4,0,0,20,TRUE,TRUE
BTU1300128,ABCO,0,2.8,0,0,8,FALSE,TRUE
BTU1300153,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300154,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300158,ABCO,0,0,0,0,NA,FALSE,FALSE
BTU1300159,ABCO,1,0.6,0,0,25,TRUE,TRUE
BTU1300161,ABCO,0,0,6,819.3359,79,FALSE,FALSE
BTU1300166,ABCO,0,0.8,2,9285.96125,6,FALSE,TRUE
BTU1300167,ABCO,0,0,1,1554.49625,NA,FALSE,FALSE
BTU1300168,ABCO,0.666666666666667,0.4,0,0,27,TRUE,TRUE
BTU1300169,ABCO,0.333333333333333,0.4,0,0,28,TRUE,TRUE
BTU1300170,ABCO,0,0,0,0,NA,FALSE,FALSE
