plot_id,contributor,longitude,latitude,fire_year,sample_year,time_since_fire,distance_seed_source,fire_severity_category,shrub_cover,grass_cover,forb_cover,canopy_cover,count_CONIF.ALLSP,plot_size_CONIF.ALLSP
BAG1318,DJNY,-122.01237,41.08203,2012,2016,4,1,high,40,12,8,5,25,60
BAG1349,DJNY,-122.00949000000001,41.06404000000004,2012,2016,4,9,high,55,1,9,0,4,60
BAG1357,DJNY,-122.00949000000001,41.06228000000005,2012,2016,4,13,high,20,3,9,5,0,60
BAG1360,DJNY,-122.00935,41.06039999999996,2012,2016,4,3,high,90,0.5,0.5,0,4,60
BAG1378,DJNY,-122.00710000000001,41.06411999999997,2012,2016,4,5,high,25,5,0.5,0,1,60
BAG1496,DJNY,-121.99857000000002,41.09314999999997,2012,2016,4,4,high,30,0,0.5,0,14,60
BAG1535,DJNY,-121.99304000000001,41.071499999999965,2012,2016,4,1,high,25,10,5,5,0,60
BAG1545,DJNY,-121.99313000000001,41.07329000000002,2012,2016,4,14,high,80,20,15,0,1,60
BAG1570,DJNY,-121.99055000000001,41.06976999999998,2012,2016,4,7,high,2,1,4,20,15,60
BAG1614,DJNY,-121.98483000000002,41.03202999999996,2012,2016,4,11,high,95,0,0,0,0,60
BAG1626,DJNY,-121.98254000000001,41.035619999999994,2012,2016,4,1,high,40,0,0,0,0,60
BAG1633,DJNY,-121.98245000000001,41.032020000000024,2012,2016,4,4,high,85,15,15,3,1,60
BAG1640,DJNY,-121.98251999999998,41.033850000000044,2012,2016,4,1,high,60,0,0,0,0,60
BAG1651,DJNY,-121.98009999999998,41.03385,2012,2016,4,10,high,95,0,0,0,0,60
BAG1661,DJNY,-121.98016,41.03567999999998,2012,2016,4,2,high,100,0,0,0,0,60
BAG1693,DJNY,-121.9778,41.035700000000034,2012,2016,4,6,high,85,0,0,0,0,60
BAR1111266,DJNY,-123.18265438767585,40.787361099485196,2006,2011,5,15.21,high,50,3,25,0,1,60
BAR1111267,DJNY,-123.18002068677488,40.78727875596512,2006,2011,5,16,high,15,2,70,3,19,60
BAR1111316,DJNY,-123.18702930566782,40.785449500513096,2006,2011,5,1.2,high,25,0.5,5,0,0,60
BAR1111317,DJNY,-123.18484191757543,40.78550050015045,2006,2011,5,2,high,68,4,20,50,0,60
BAR1111418,DJNY,-123.18923252624042,40.78179122147002,2006,2011,5,16.43,high,3,65,20,0,5,60
BAR1111479,DJNY,-123.16066141583072,40.78074395758402,2006,2011,5,1,high,10,70,2,8,0,60
BAR1111480,DJNY,-123.15825918293714,40.78074601581561,2006,2011,5,15.49,high,12,75,3,0,0,60
BAR1111482,DJNY,-123.1536915932624,40.78084047348937,2006,2011,5,5.82,high,65,15,2,0,7,60
BAR1111516,DJNY,-123.18906137251979,40.7781060032004,2006,2011,5,2.75,high,70,0.5,15,15,157,60
BAR1111517,DJNY,-123.18662596024863,40.77820158469462,2006,2011,5,4.9,high,16,2,5,15,81,60
BAR1111531,DJNY,-123.15359115929404,40.77911906773803,2006,2011,5,3,high,67,10,12,2,0,60
BAR1111532,DJNY,-123.15118707884186,40.77922142685655,2006,2011,5,7.54,high,80,5,13,0,12,60
BAR1111619,DJNY,-123.18189132122994,40.774888490805075,2006,2011,5,12.9,high,50,10,70,0,9,60
BAR1111670,DJNY,-123.17936777777163,40.77306225619491,2006,2011,5,NA,high,70,10,20,2,1,60
BAR1111671,DJNY,-123.17698678374866,40.77319340384266,2006,2011,5,NA,high,50,15,10,15,0,60
BAR1111672,DJNY,-123.17458857282945,40.7731791298016,2006,2011,5,10,high,15,40,50,0,12,60
BAR1111713,DJNY,-123.19577682008418,40.77079812249079,2006,2011,5,2.81,high,60,9,2,20,0,60
BAR1111718,DJNY,-123.183953099628,40.771139632046285,2006,2011,5,98.6,high,50,10,5,0,54,60
BAR1111719,DJNY,-123.18165963285101,40.771227315147414,2006,2011,5,NA,high,31,20,4,0,0,60
BAR1111760,DJNY,-123.2004789061054,40.76886509408397,2006,2011,5,2,high,25,15,10,50,0,60
BAR1111762,DJNY,-123.19572894343814,40.768938830328345,2006,2011,5,15,high,50,5,5,0,0,60
BAR1111763,DJNY,-123.19343405837151,40.76903710969505,2006,2011,5,7.4,high,90,2,1,0,0,60
BAR1111765,DJNY,-123.1885951699652,40.76918159897715,2006,2011,5,21.7,high,5,50,60,0,0,60
BAR1111766,DJNY,-123.18642057569693,40.76916729516684,2006,2011,5,6.1,high,0,2,2,20,1,60
BAR1111769,DJNY,-123.17926973930315,40.769343752212585,2006,2011,5,20,high,80,15,35,0,14,60
BAR1111810,DJNY,-123.1957009585449,40.767316069548144,2006,2011,5,6,high,45,0.5,30,0,1,60
BAR1111811,DJNY,-123.19343747849058,40.76735619027436,2006,2011,5,7.9,high,90,1,2,5,2,60
BAR1111857,DJNY,-123.19801353207448,40.76533410714219,2006,2011,5,20,high,40,30,20,0,0,60
BAR1111858,DJNY,-123.19559563110262,40.7653791294016,2006,2011,5,13.8,high,85,15,10,0,0,60
BAR1111859,DJNY,-123.19323309842794,40.76543770138339,2006,2011,5,18.6,high,75,15,5,0,0,60
BAR1111901,DJNY,-123.20260106219453,40.763359026945885,2006,2011,5,18.1,high,0,20,15,0,0,60
BAR1111902,DJNY,-123.2002359727518,40.76344774539038,2006,2011,5,9,high,25,35,10,0,0,60
BAR1111903,DJNY,-123.19783336184311,40.763511165523205,2006,2011,5,28.2,high,60,20,15,0,0,60
BAR1111905,DJNY,-123.19313717664704,40.76381811561149,2006,2011,5,40,high,15,60,12,0.5,0,60
BAR1111941,DJNY,-123.20963618544471,40.76149717647613,2006,2011,5,12.4,high,40,60,4,0,0,60
