"OldPLOTID","Regen_Plot","modal_ht_ft","Species","Cover","ID","modal_ht_cm","comments"
,"PWR0900100",,"CEIN3",1.00,956,135.00,
,"PWR0900100",,"CHFO",1.00,957,30.00,
,"PWR0900100",,"ARPA6",1.00,958,40.00,
,"PWR0900079",,"CHFO",43.00,959,40.00,
,"PWR0900079",,"CECO",1.00,960,40.00,
,"PWR0900079",,"ARPA6",0.50,961,40.00,
,"PWR0900070",,"ARPA6",5.00,962,30.00,
,"PWR0900070",,"CHFO",20.00,963,20.00,
,"PWR0900070",,"CEIN3",1.00,964,55.00,
,"PWR0900068",,"CEIN3",20.00,965,170.00,
,"PWR0900068",,"CHFO",25.00,966,40.00,
,"PWR0900068",,"ARPA6",0.50,967,60.00,
,"PWR0900069",,"CEIN3",20.00,968,100.00,
,"PWR0900069",,"CHFO",5.00,969,40.00,
,"PWR0900069",,"RIBES",0.50,970,30.00,
,"PWR0900067",,"CHFO",67.00,971,30.00,
,"PWR0900067",,"ARPA6",1.00,972,60.00,
,"PWR0900067",,"CECO",1.00,973,50.00,
,"PWR0900066",,"CHFO",30.00,974,40.00,
,"PWR0900066",,"ARPA6",1.00,975,45.00,
,"PWR0900066",,"CEIN3",1.00,976,40.00,
,"PWR0900063",,"CECO",80.00,977,150.00,
,"PWR0900063",,"ARPA6",2.00,978,70.00,
,"PWR0900063",,"RIRO",1.00,979,50.00,
,"PWR0900064",,"ARPA6",0.50,980,20.00,
,"PWR0900064",,"QUVA",20.00,981,45.00,
,"PWR0900071",,"CEIN3",15.00,982,140.00,
,"PWR0900071",,"CHFO",15.00,983,30.00,
,"PWR0900071",,"CECO",10.00,984,75.00,
,"PWR0900060",,"CEIN3",5.00,985,140.00,
,"PWR0900060",,"CECO",10.00,986,65.00,
,"PWR0900059",,"CEIN3",60.00,987,150.00,
,"PWR0900059",,"CHFO",10.00,988,30.00,
,"PWR0900058",,"CHFO",15.00,989,40.00,
,"PWR0900058",,"CECO",10.00,990,55.00,
,"PWR0900058",,"RIRO",0.50,991,50.00,
,"PWR0900058",,"UNK_2",1.00,992,30.00,"rose"
,"PWR0900057",,"ARPA6",10.00,993,120.00,
,"PWR0900057",,"CEIN3",5.00,994,150.00,
,"PWR0900057",,"RIRO",0.50,995,70.00,
,"PWR0900057",,"CECO",2.00,996,90.00,
,"PWR0900040",,"CECO",20.00,997,45.00,
,"PWR0900040",,"ARPA6",20.00,998,50.00,
,"PWR0900040",,"CEIN3",1.00,999,130.00,
,"PWR0900055",,"ARPA6",10.00,1000,60.00,
,"PWR0900055",,"CEIN3",40.00,1001,150.00,
,"PWR0900055",,"CHFO",2.00,1002,30.00,
,"PWR0900055",,"GAFR",5.00,1003,80.00,
,"PWR0900054",,"PRVI",2.00,1004,70.00,
,"PWR0900054",,"ARPA6",15.00,1005,40.00,
,"PWR0900054",,"CECO",5.00,1006,45.00,
,"PWR0900054",,"CHFO",15.00,1007,30.00,
,"PWR0900053",,"CECO",50.00,1008,,
,"PWR0900052",,"ARPA6",2.00,1009,60.00,
,"PWR0900051",,"ARPA6",20.00,1010,85.00,
,"PWR0900051",,"CECO",40.00,1011,65.00,
,"PWR0900051",,"RIRO",0.50,1012,25.00,
,"PWR0900050",,"ARPA6",20.00,1013,65.00,
,"PWR0900050",,"CECO",10.00,1014,45.00,
,"PWR0900050",,"CHFO",35.00,1015,25.00,
,"PWR0900034",,"ARPA6",5.00,1016,30.00,
,"PWR0900034",,"CHFO",5.00,1017,,
,"PWR0900034",,"CECO",1.00,1018,,
,"PWR0900034",,"GAFR",25.00,1019,160.00,
,"PWR0900043",,"CECO",50.00,1020,95.00,
,"PWR0900043",,"ARPA6",1.00,1021,75.00,
,"PWR0900043",,"CEIN3",1.00,1022,160.00,
,"PWR0900042",,"ARPA6",0.50,1023,20.00,
,"PWR0900042",,"CECO",1.00,1024,20.00,
,"PWR0900042",,"CEIN3",1.00,1025,30.00,
,"PWR0900041",,"CECO",10.00,1026,70.00,
