"ID","Regen_Plot","OldPLOTID","Count_total","0yr","Ct_1yr","Ct_2yr","Ct_3yr","Ct_4yr","Ct_5yr","6yr","7yr","8yr","9yr","10yr","11+yr","Type","Species","num_dead","seed_veg_plant","tallest_age","tallest_ht_cm","tallest_lastyr_cm","Remarks","number_sprouts"
1939,"BST1100112",,1.00,,,1,,,,,,,,,,"C","ABCO",,"S",2.00,10.00,3.00,,
1940,"PNT1100350",,3.00,,,,,1,1,1,,,,,,"C","CADE27",,"S",5.00,50.00,8.00,,
1941,"BST1100113",,15.00,,,1,5,3,4,1,1,,,,,"C","ABCO",,"S",7.00,39.00,10.00,,
1942,"PNT1100344",,3.00,,,3,,,,,,,,,,"H","ARME",,"S",2.00,70.00,25.00,,
1943,"PNT1100344",,2.00,,,1,1,,,,,,,,,"C","PIPO",,"S",2.00,70.00,20.00,,
1944,"PNT1100205",,12.00,,4,4,3,1,,,,,,,,"H","ARME",,"S",4.00,110.00,40.00,,
1945,"PNT1100205",,9.00,,2,2,3,,,1,,,,1,,"H","LIDE3",,"S",10.00,120.00,15.00,,
1946,"PNT1100205",,4.00,,,1,1,,2,,,,,,,"C","ABCO",,"S",5.00,45.00,8.00,,
1947,"PNT1100205",,10.00,,4,5,,,,1,,,,,,"C","PSME",,"S",6.00,60.00,12.00,,
1948,"BST1100114",,8.00,,,,6,2,,,,,,,,"C","ABCO",,"S",6.00,18.00,2.00,,
1949,"BST1100114",,2.00,1,1,,,,,,,,,,,"C","CADE27",,"S",1.00,10.00,2.00,,
1951,"BST1100117",,3.00,1,2,,,,,,,,,,,"C","ABMA",,"S",1.00,10.00,9.00,,
1952,"PNT1100023",,10.00,,,3,4,3,,,,,,,,"H","ARME",,"S",4.00,100.00,23.00,,
1953,"BST1100117",,2.00,,2,,,,,,,,,,,"C","ABCO",,"S",1.00,10.00,2.00,,
1954,"PNT1100023",,2.00,,,,2,,,,,,,,,"H","ACMA",,"S",3.00,65.00,14.00,,
1955,"PNT1100023",,2.00,,,,1,,1,,,,,,,"H","LIDE3",,"S",5.00,60.00,10.00,,
1956,"PNT1100023",,1.00,,,,,,,1,,,,,,"H","QUCH2",,"S",6.00,130.00,27.00,,
1957,"PNT1100023",,1.00,,,,,,1,,,,,,,"H","CONU4",,"S",5.00,70.00,7.00,,
1959,"PNT1100272",,5.00,,1,1,3,,,,,,,,,"C","ABCO",,"S",3.00,30.00,5.00,,
1960,"PNT1100272",,4.00,,,,1,,,2,,1,,,,"H","LIDE3",,"S",8.00,100.00,20.00,,
1961,"PNT1100272",,3.00,,,2,1,,,,,,,,,"H","CONU4",,"S",3.00,23.00,5.00,,
1962,"PNT1100272",,4.00,,,,,2,1,1,,,,,,"H","ARME",,"S",5.00,100.00,25.00,,
1963,"BST1100119",,10.00,,,2,6,2,,,,,,,,"C","ABCO",,"S",4.00,30.00,7.00,,
1964,"BST1100119",,5.00,,,,3,2,,,,,,,,"C","PSME",,"S",4.00,25.00,5.00,,
1965,"PNT1100270",,26.00,1,10,1,3,6,4,1,,,,,,"C","ABCO",,"S",6.00,60.00,8.00,,
1966,"PNT1100270",,6.00,,,4,2,,,,,,,,,"H","ARME",,"S",3.00,45.00,7.00,,
1967,"PNT1100270",,14.00,,3,1,1,,5,1,3,,,,,"H","CONU4",,"S",7.00,130.00,15.00,,
1968,"PNT1100270",,6.00,,,1,,3,1,1,,,,,,"H","LIDE3",,"S",6.00,80.00,13.00,,
1969,"PNT1100270",,8.00,2,3,,2,,,1,,,,,,"C","PSME",,"S",6.00,57.00,7.00,,
1970,"PNT1100270",,1.00,,,1,,,,,,,,,,"H","QUKE",,"S",2.00,12.00,5.00,,
1971,"BST1100135",,2.00,,2,,,,,,,,,,,"C","PIPO",,"S",1.00,26.00,9.00,,
1972,"BST1100135",,1.00,1,,,,,,,,,,,,"C","ABMA",,"S",0.00,7.00,0.00,,
1973,"PNT1100037",,9.00,9,,,,,,,,,,,,"C","PSME",,"S",0.00,10.00,5.00,,
1974,"PNT1100037",,42.00,,3,10,9,16,4,,,,,,,"H","ARME",,"S",5.00,110.00,34.00,,
1975,"PNT1100037",,5.00,,1,,3,1,,,,,,,,"H","CONU4",,"S",4.00,50.00,13.00,,
1976,"PNT1100037",,20.00,,,8,6,3,2,1,,,,,,"H","LIDE3",,"S",6.00,130.00,22.00,,
1977,"PNT1100037",,2.00,,2,,,,,,,,,,,"C","PILA",,"S",2.00,14.00,8.00,,
1978,"BST1100136",,9.00,,1,5,3,,,,,,,,,"C","ABMA",,"S",3.00,17.00,5.00,,
1979,"BST1100136",,2.00,,,,1,,1,,,,,,,"C","PIPO",,"S",5.00,96.00,19.00,,
1980,"BST1100136",,4.00,,1,2,,,1,,,,,,,"C","CADE27",,"S",5.00,59.00,10.00,,
1981,"BST1100137",,29.00,,,1,3,5,20,,,,,,,"C","CADE27",,"S",9.00,72.00,9.00,,
1982,"BST1100137",,1.00,,,,,,1,,,,,,,"C","PIPO",,"S",5.00,53.00,4.00,,
1983,"BST1100137",,3.00,,,1,,1,1,,,,,,,"C","ABCO",,"S",5.00,20.00,5.00,,
1984,"BST1100137",,1.00,,,,,1,,,,,,,,"C","PILA",,"S",4.00,37.00,8.00,,
1985,"PNT1100137",,1.00,,,1,,,,,,,,,,"H","QUKE",,"S",2.00,20.00,5.00,,
1986,"PNT1100137",,24.00,,,4,9,7,3,,,1,,,,"H","LIDE3",,"S",8.00,60.00,14.00,,
1987,"PNT1100137",,2.00,,,2,,,,,,,,,,"C","CADE27",,"S",2.00,15.00,6.00,,
1988,"PNT1100203",,25.00,,6,11,6,2,,,,,,,,"H","ARME",,"S",4.00,90.00,30.00,,
1989,"PNT1100203",,6.00,1,3,1,1,,,,,,,,,"C","PSME",,"S",3.00,20.00,5.00,,
1990,"PNT1100203",,14.00,,8,,3,3,,,,,,,,"C","ABCO",,"S",4.00,45.00,11.00,,
1991,"PNT1100203",,4.00,,,1,1,1,1,,,,,,,"H","LIDE3",,"S",5.00,75.00,10.00,,
1992,"BST1100144",,5.00,,5,,,,,,,,,,,"C","ABCO",,"S",1.00,6.00,4.00,,
1993,"BST1100144",,1.00,,1,,,,,,,,,,,"C","PSME",,"S",1.00,12.00,10.00,,
1994,"BST1100160",,14.00,,6,8,,,,,,,,,,"C","PIPO",,"S",2.00,40.00,11.00,,
1995,"PNT1100063",,4.00,,,,,2,2,,,,,,,"H","LIDE3",,"S",5.00,55.00,10.00,,
1996,"PNT1100063",,1.00,,,,,,1,,,,,,,"H","ARME",,"S",5.00,95.00,21.00,,
1997,"PNT1100063",,1.00,,,,,,1,,,,,,,"H","CONU4",,"S",5.00,80.00,10.00,,
1998,"BST1100160",,11.00,,4,7,,,,,,,,,,"C","PICO",,"S",2.00,42.00,10.00,,
1999,"BST1100160",,4.00,,4,,,,,,,,,,,"C","PSME",,"S",1.00,11.00,4.00,,
2000,"BST1100160",,3.00,,2,1,,,,,,,,,,"C","ABMA",,"S",2.00,20.00,7.00,,
2001,"BST1100160",,2.00,,1,1,,,,,,,,,,"C","ABCO",,"S",2.00,21.00,5.00,,
2002,"PNT1100062",,13.00,,1,2,2,2,,1,1,4,,,,"H","ACMA",,"S",8.00,100.00,14.00,,
2003,"PNT1100062",,3.00,,,2,,,,1,,,,,,"H","LIDE3",,"S",6.00,110.00,20.00,,
2004,"PNT1100062",,9.00,,2,2,1,1,1,2,,,,,,"C","CADE27",,"S",6.00,80.00,10.00,,
2005,"PNT1100062",,4.00,,,,1,,,1,1,1,,,,"C","ABCO",,"S",8.00,80.00,10.00,,
2006,"PNT1100062",,1.00,,,,,,1,,,,,,,"H","CONU4",,"S",5.00,70.00,20.00,,
2007,"PNT1100062",,2.00,,,1,1,,,,,,,,,"C","PSME",,"S",3.00,20.00,5.00,,
2008,"PNT1100062",,1.00,,,,,1,,,,,,,,"H","ARME",,"S",4.00,80.00,18.00,,
2009,"BST1100161",,6.00,,1,2,1,2,,,,,,,,"C","PIPO",,"S",4.00,67.00,20.00,,
2010,"BST1100162",,30.00,9,9,4,6,1,1,,,,,,,"C","CADE27",,"S",5.00,50.00,7.00,,
2011,"BST1100162",,7.00,,3,2,1,,1,,,,,,,"C","ABCO",,"S",5.00,51.00,10.00,,
2012,"BST1100162",,6.00,,2,2,1,,1,,,,,,,"C","PIPO",,"S",5.00,68.00,16.00,,
2013,"BST1100162",,23.00,7,12,2,2,,,,,,,,,"C","PSME",,"S",3.00,32.00,9.00,,
2014,"BST1100162",,29.00,6,22,1,,,,,,,,,,"C","ABMA",,"S",2.00,17.00,6.00,,
2015,"PNT1100106",,42.00,,,1,4,6,6,8,8,7,1,1,,"H","LIDE3",,"S",10.00,120.00,11.00,,
2016,"PNT1100106",,2.00,,,,,,,,,,2,,,"C","CADE27",,"S",9.00,100.00,8.00,,
2017,"BST1100312",,1.00,1,,,,,,,,,,,,"C","ABCO",,"S",0.00,4.00,,,
2018,"PNT1100061",,24.00,,2,,3,1,4,6,,4,2,,2,"H","LIDE3",,"S",11.00,97.00,11.00,,
2019,"PNT1100061",,1.00,,1,,,,,,,,,,,"H","ACMA",,"S",1.00,10.00,4.00,,
2020,"BST1100333",,4.00,2,2,,,,,,,,,,,"C","ABMA",,"S",1.00,8.00,4.00,,
2021,"RAL1100180",,2.00,,,,1,1,,,,,,,,"H","QUKE",,"S",4.00,15.00,5.00,,
2022,"RAL1100180",,3.00,,,1,2,,,,,,,,,"H","QUCH2",,"S",3.00,20.00,6.00,,
2023,"RAL1100143",,2.00,,,1,1,,,,,,,,,"H","QUCH2",,"S",3.00,40.00,26.00,,
2024,"RAL1100143",,2.00,,,,1,1,,,,,,,,"C","PSME",,"S",4.00,75.00,20.00,,
2025,"RAL1100143",,1.00,,,1,,,,,,,,,,"H","ACMA",,"S",2.00,25.00,15.00,,
2026,"RAL1100143",,2.00,,,,1,1,,,,,,,,"H","QUKE",,"S",4.00,40.00,12.00,,
