"ID","Regen_Plot","Fire","Date","Observers","Year of Fire","Photos","Datum","Easting","Northing","aspect","slope","parent1","parent2","BARE","ROCK","VEG (BASAL '10)","LITT","CWD","SHRUB","FORBE","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","HIST1","HIST2","HIST3","DUFF_cm","LITT_cm","BA_total_count","BA_live_count","BA_dead_count","NOTES","HERBS","UNDERSTORY VEG","TREE_live only","BAF","BA Total1","BA Live1","BA Dead1"
375,"STY0900029","STRAYLOR",7/14/2009 0:00:00,"kw/bs",2004.00,"1358","WGS84 UTM zone 10",659687.82,4521960.56,350.00,20.00,"volc",,13.00,0.00,75.00,10.00,2.00,40.00,10.00,25.00,,,10.00,0.00,"1",5.00,,,,0.00,0.50,3,0,3,"Cheatgrass +, LACE -",,,,20,60,0,60
376,"STY0900037","STRAYLOR",7/14/2009 0:00:00,"kw/bs",2004.00,"1357","WGS84 UTM zone 10",660100.41,4521575.33,334.00,10.00,"volc",,15.00,0.50,60.00,15.00,10.00,20.00,15.00,25.00,,,0.00,0.00,"1",5.00,,,,0.00,0.50,0,0,0,"Planted area, burnt CEBE in plot, Cheatgrass +, LACE -.",,,,20,0,0,0
377,"STY0900041","STRAYLOR",7/14/2009 0:00:00,"kw/bs",2004.00,"1356","WGS84 UTM zone 10",660108.50,4521376.24,154.00,17.00,"volc",,40.00,15.00,25.00,20.00,0.50,20.00,3.00,2.00,,,0.00,10.00,"1",3.00,,,,0.00,0.25,3,3,0,,,,,20,60,60,0
378,"STY0900036","STRAYLOR",7/14/2009 0:00:00,"kw/bs",2004.00,"1355","WGS84 UTM zone 10",659703.10,4521560.22,10.00,5.00,"volc",,20.00,1.00,69.00,10.00,0.50,40.00,20.00,9.00,,,0.00,0.00,"1",4.00,,,,0.00,1.00,0,0,0,"logged and grazed, LACE, Cheatgrass & Thistle.",,,,20,0,0,0
379,"STY0900033","STRAYLOR",7/14/2009 0:00:00,"kw/bs",2004.00,"1354","WGS84 UTM zone 10",659495.16,4521754.36,44.00,10.00,"volc",,5.00,40.00,30.00,15.00,10.00,5.00,15.00,10.00,,,10.00,0.00,"1",5.00,,,,0.50,1.00,1,0,1,"Cheatgrass, LACE & foxtail.  Grazing in area.",,,,20,20,0,20
380,"STY0900028","STRAYLOR",7/14/2009 0:00:00,"kw/bs",2004.00,"1352","WGS84 UTM zone 10",659289.82,4521946.50,56.00,5.00,"volc",,2.00,30.00,38.00,10.00,20.00,1.00,25.00,13.00,,,2.00,0.00,"1",5.00,,,,0.00,0.50,4,0,4,"LACE",,,,20,80,0,80
381,"STY0900024","STRAYLOR",7/14/2009 0:00:00,"kw/bs",2004.00,"1351","WGS84 UTM zone 10",659281.50,4522144.35,8.00,28.00,"volc",,0.00,50.00,35.00,10.00,5.00,30.00,3.00,2.00,,,10.00,0.00,"1",5.00,,,,0.25,1.00,6,0,6,"Cheatgrass",,,,20,120,0,120
382,"STY0900023","STRAYLOR",7/14/2009 0:00:00,"kw/bs",2004.00,"1350","WGS84 UTM zone 10",659084.65,4522139.56,350.00,50.00,"volc",,0.50,25.00,25.00,50.00,0.50,3.00,15.00,7.00,,,25.00,5.00,"1",5.00,,,,1.00,1.50,5,1,4,"Cheatgrass -",,,,20,100,20,80
383,"STY0900052","STRAYLOR",7/15/2009 0:00:00,"kw/bs",2004.00,"1382","WGS84 UTM zone 10",660523.67,4520991.64,236.00,70.00,"volc",,0.50,40.00,30.00,20.00,10.00,0.00,5.00,25.00,,,30.00,0.00,"1",5.00,,,,1.00,1.00,1,0,1,"Cheatgrass +, LACE +, plot center shifted slightly off of bare rock.",,,,20,20,0,20
384,"STY0900053","STRAYLOR",7/15/2009 0:00:00,"kw/bs",2004.00,"1383","WGS84 UTM zone 10",660720.65,4520996.81,172.00,8.00,"volc",,50.00,15.00,30.00,5.00,0.50,2.00,18.00,10.00,,,0.00,0.00,"1",5.00,,,,0.00,0.25,0,0,0,"Thistle -, LACE +, Cheatgrass +.  Logged area.",,,,20,0,0,0
