"ID","Regen_Plot","DBH (cm)","type","Species","3 yr","4yr","5yr","6yr","7yr","8yr","9yr","10yr","11+yr","seed_veg_plant","tallest_ht_cm","tallest_age","tallest_lastyr_cm","number_sprouts"
580,"PNP1000035","2.5","h","ARME",,,,,1,,,,,"S",260.00,7.00,,0.00
582,"PNP1000035","1.9","h","ARME",,,,1,,,,,,"S",280.00,6.00,,0.00
583,"PNP1000035","2.2","h","ARME",,,,,,1,,,,"S",300.00,8.00,,0.00
584,"PNP1000035","1.5","h","ARME",,,,1,,,,,,"S",230.00,6.00,,0.00
586,"PNP1000035","2","h","ARME",,,,,,1,,,,"S",200.00,8.00,,0.00
587,"PNP1000035",".3","h","ARME",,,1,,,,,,,"S",155.00,5.00,,0.00
588,"PNP1000035","1.9","h","ARME",,,1,,,,,,,"S",230.00,5.00,,0.00
589,"PNP1000035","1.9","h","ARME",,,1,,,,,,,"S",230.00,5.00,,0.00
590,"PNP1000035","1.9","h","ARME",,,1,,,,,,,"S",230.00,5.00,,0.00
591,"PNP1000035","1.9","h","ARME",,,1,,,,,,,"S",230.00,5.00,,0.00
592,"PNP1000035","1.9","h","ARME",,,1,,,,,,,"S",230.00,5.00,,0.00
593,"PNP1000035",".2","h","ARME",,,1,,,,,,,"S",150.00,5.00,,0.00
594,"PNP1000035","1","h","ARME",,,,,1,,,,,"S",200.00,7.00,,0.00
595,"PNP1000010",".3","h","LIDE3",,,,,1,,,,,"S",160.00,7.00,,0.00
600,"PNP1000010","1","h","ARME",,,1,,,,,,,"S",180.00,5.00,,0.00
603,"PNP1000010","1.8","h","LIDE3",,,,,,,1,,,"S",240.00,9.00,,0.00
605,"PNP1000010","1","h","ARME",,,,,1,,,,,"S",230.00,7.00,,0.00
616,"PNP1000010","1","h","ARME",,,1,,,,,,,"S",170.00,5.00,,0.00
617,"PNP1000010","1","h","ARME",,,1,,,,,,,"S",150.00,5.00,,0.00
618,"PNP1000010","1","h","ARME",,,1,,,,,,,"S",160.00,5.00,,0.00
619,"PNP1000008","1","h","LIDE3",,,,,1,,,,,"S",230.00,7.00,,0.00
620,"PNP1000008",".3","h","LIDE3",,,,,1,,,,,"S",150.00,7.00,,0.00
624,"PNP1000008",".7","h","LIDE3",,,,1,,,,,,"S",190.00,6.00,,0.00
626,"PNP1000008","1.3","h","CONU4",,,,1,,,,,,"S",250.00,6.00,,0.00
627,"PNP1000008","1","h","ARME",,,,,1,,,,,"S",190.00,7.00,,0.00
628,"PNP1000008",".4","h","ARME",,,1,,,,,,,"S",190.00,5.00,,0.00
631,"PNP1000008","2","h","ARME",,,1,,,,,,,"S",230.00,5.00,,0.00
633,"PNP1000023","3.5","c","PIPO",,,,,,1,,,,"S",350.00,8.00,,0.00
635,"PNP1000023","6.9","c","PIPO",,,,,,1,,,,"S",390.00,8.00,,0.00
637,"PNP1000023","1.5","c","PIPO",,,,,1,,,,,"S",220.00,7.00,,0.00
639,"PNP1000023","5.5","c","PIPO",,,,,,1,,,,"S",340.00,8.00,,0.00
640,"PNP1000023","5","h","LIDE3",,,,,,,1,,,"S",500.00,9.00,,0.00
641,"PNP1000023","1.1","c","PIPO",,,,,1,,,,,"S",200.00,7.00,,0.00
643,"PNP1000023","3.2","c","PIPO",,,,,,1,,,,"S",400.00,8.00,,0.00
644,"PNP1000023","2.5","c","PIPO",,,,,1,,,,,"S",250.00,7.00,,0.00
647,"PNP1000027","2.9","h","LIDE3",,,,,,1,,,,"S",210.00,8.00,,0.00
649,"PNP1000027","3.4","h","LIDE3",,,,,,1,,,,"S",330.00,8.00,,0.00
660,"PNP1000006",".9","h","ARME",,,,1,,,,,,"S",145.00,6.00,,0.00
661,"PNP1000006",".5","h","ARME",,,,,,1,,,,"S",170.00,8.00,,0.00
663,"PNP1000024","16.5","c","PIPO",,,,,,,,1,,"S",620.00,10.00,,0.00
664,"PNP1000024","1.3","c","PIPO",,,,1,,,,,,"S",200.00,6.00,,0.00
665,"PNP1000024","10.5","c","PIPO",,,,,,1,,,,"S",500.00,8.00,,0.00
666,"PNP1000024","7.6","c","PSME",,,,,,,1,,,"S",510.00,9.00,,0.00
668,"PNP1000024","3.2","h","ARME",,,,,1,,,,,"S",250.00,7.00,,0.00
669,"PNP1000024","4.4","c","PIPO",,,,,1,,,,,"S",300.00,7.00,,0.00
670,"PNP1000024","1","c","PIPO",,,,1,,,,,,"S",170.00,6.00,,0.00
671,"PNP1000024","3.8","h","LIDE3",,,,,,,,,1,"S",320.00,11.00,,6.00
673,"PNP1000024","2.5","h","ARME",,,,,,,,,1,"S",310.00,11.00,,2.00
675,"PNP1000024",".5","h","ARME",,,,1,,,,,,"S",180.00,6.00,,0.00
676,"PNP1000024","3","h","ARME",,,,,1,,,,,"S",280.00,7.00,,2.00
678,"PNP1000028","4.4","h","ARME",,,,,,1,,,,"S",350.00,8.00,,2.00
679,"PNP1000028",".7","h","ARME",,,1,,,,,,,"S",140.00,5.00,,0.00
680,"PNP1000028","2.9","h","ARME",,,,,,1,,,,"S",300.00,8.00,,2.00
