OldPLOTID,Regen_Plot,DBH,ID,Species,comments
,RAL1100510,3.8,718,PIPO,
,RAL1100510,10.1,719,PIPO,
,RAL1100510,7.4,720,PIPO,
,RAL1100510,7,721,PIPO,
,RAL1100510,7.4,722,PIPO,
,RAL1100511,45,723,QUKE,
,RAL1100511,22.4,724,QUKE,
,RAL1100511,38,725,QUKE,
,RAL1100550,42.9,726,QUKE,
,RAL1100550,36.8,727,QUKE,
,RAL1100550,15.4,728,QUKE,
,RAL1100550,16,729,QUKE,
,RAL1100550,35,730,QUKE,
,RAL1100551,16.3,731,QUKE,
,RAL1100551,6.2,732,PILA,
,RAL1100551,15.6,733,QUKE,
,RAL1100551,25.6,734,QUKE,
,RAL1100551,10.8,735,QUKE,
,RAL1100551,16.4,736,QUKE,
,RAL1100551,5.1,737,QUCH2,
,RAL1100471,14.2,738,QUKE,
,RAL1100471,55,739,PIPO,
,RAL1100471,42.3,740,PIPO,
,RAL1100342,11.5,741,QUKE,
,RAL1100342,8.7,742,QUKE,
,RAL1100342,5.9,743,QUKE,
,RAL1100342,11,744,QUKE,
,RAL1100342,11.5,745,QUKE,
,RAL1100341,15.4,746,QUKE,
,RAL1100341,17.8,747,QUKE,
,RAL1100341,17.2,748,QUKE,
,RAL1100341,19,749,QUKE,
,RAL1100341,36.2,750,QUKE,
,RAL1100341,59.1,751,QUKE,
,RAL1100341,15.6,752,QUKE,
,RAL1100254,67.7,753,PSME,
,RAL1100254,39.6,754,PSME,
,RAL1100106,19.7,755,QUKE,
,RAL1100106,28.5,756,QUKE,
,RAL1100106,15.2,757,QUCH2,
,RAL1100106,15.5,758,QUCH2,
,RAL1100106,15.9,759,QUCH2,
,RAL1100106,10.8,760,QUCH2,
,RAL1100106,16.9,761,QUCH2,
,RAL1100106,30.2,762,QUCH2,
,RAL1100106,17.6,763,QUCH2,
,RAL1100106,23.6,764,QUCH2,
,RAL1100106,6.8,765,PSME,
,RAL1100106,4.6,766,PILA,
,RAL1100106,1.6,767,PILA,
,RAL1100106,2.9,768,PILA,
,RAL1100106,3.1,769,PILA,
,RAL1100546,31.8,770,ABCO,
,RAL1100546,26.7,771,QUKE,
,RAL1100546,33.9,772,QUKE,
,RAL1100586,154,773,PSME,
,RAL1100586,130,774,PSME,
,RAL1100585,78,775,QUKE,
,RAL1100389,1,776,QUKE,
,RAL1100389,1,777,QUKE,
,RAL1100389,2.9,778,QUKE,
,RAL1100389,4,779,QUKE,
,RAL1100389,22.1,780,PIPO,
,RAL1100389,28.3,781,PIPO,
,RAL1100389,24.4,782,PIPO,
,RAL1100389,8.4,783,PSME,
,RAL1100389,9.5,784,ACMA,
,RAL1100389,9.5,785,ACMA,
,RAL1100389,9.5,786,ACMA,
,RAL1100389,9.5,787,ACMA,
,RAL1100389,9.5,788,ACMA,
,RAL1100389,9.5,789,ACMA,
,RAL1100389,9.5,790,ACMA,
,RAL1100389,9.5,791,ACMA,
,RAL1100389,9.5,792,ACMA,
,RAL1100389,9.5,793,ACMA,
,RAL1100389,9.5,794,ACMA,
,RAL1101033,49.9,796,QUKE,
,RAL1101034,33.7,797,PIPO,
,RAL1101036,50.5,798,PSME,
,RAL1101036,57.4,799,PSME,
,RAL1101078,25.9,801,QUCH2,
,RAL1101078,30.3,802,QUCH2,
,BAR1111767,83.3,804,QUKE,
,BAR1111767,16.5,805,PIPO,
,BAR1111621,11.6,807,QUCH2,
,BAR1111816,77.1,808,PIPO,
,BAR1111714,31.4,809,QUCH2,
,BAR1111712,8.7,810,PIPO,
,BAR1111712,10.5,811,QUCH2,
