"ID","Regen_Plot","Fire","Date","Observers","Year of Fire","Photos","Datum","Longitude","Latitude","aspect","slope","parent1","parent2","BARE","ROCK","VEG (BASAL '10)","LITT","CWD","SHRUB","FORBE","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","HIST1","HIST2","HIST3","DUFF_cm","LITT_cm","BA_total_count","BA_live_count","BA_dead_count","NOTES","HERBS","UNDERSTORY VEG","TREE_live only","BAF","BA Total1","BA Live1","BA Dead1","seed_tree_distance_conifer","seed_tree_distance_hardwood","seed_wall_distance","dominant_tree_1","dominant_tree_2","dominant_tree_3","fire_killed_trees_2-15","fire_killed_trees_15-30","fire_killed_trees_30-45","fire_killed_trees_45-60","fire_killed_trees_60+","dominant_shrub_1","dominant_shrub_2","new_or_revisit","burn_or_control","revisit_relocated_precisely","dominant_shrub_ht_cm","entered_by","entered_on","seed_tree_distance_general"
3187,"BAG1061",,9/4/2016 0:00:00,"JB CC",,"B0764",,122.035200000,41.049240000,,,"SHALE?",,,0.000000000,,,,75.000000000,5.000000000,10.000000000,5.000000000,0.000000000,,0.000000000,,5.000000000,,,,,,,0,,"PIC IS FROM NORTH TO SOUTH COVER BY CC",15.000000000,85.000000000,5.000000000,5,0,,0,"51","4","51","PSME",,,,,,,,"PRVI",,"New","High sev",,121,"CC",9/30/2016 0:00:00,
3188,"BAG1074",,9/4/2016 0:00:00,"JB CC",,"B0761",,122.035170000,41.047410000,,,"SHALE?",,,5.000000000,,,,70.000000000,5.000000000,15.000000000,10.000000000,10.000000000,,5.000000000,,4.000000000,,,,,,,5,,"COVER BY CC",20.000000000,80.000000000,20.000000000,5,0,,0,"30","6","30","PSME",,,,,,,,"CEIN3",,"New","High sev",,181,"CC",9/30/2016 0:00:00,
3189,"BAG1659",,9/3/2016 0:00:00,"JB CC",,"B0744",,121.980220000,41.037470000,,,"SHALE?",,,5.000000000,,,,20.000000000,5.000000000,25.000000000,15.000000000,5.000000000,,5.000000000,,,,,,,,,1,,"PIC IS FROM NORTH TO SOUTH COVER BY CC",30.000000000,65.000000000,20.000000000,5,0,,0,"5","2","5","PSME",,,,,,,,"ARPA6",,"New","High sev",,49,"CC",9/30/2016 0:00:00,
3190,"BAG1693",,9/3/2016 0:00:00,"JB CC",,"B0742",,121.977800000,41.035700000,,,"SHALE?",,,0.000000000,,,,85.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,5.000000000,,,,,,,0,,"COVER BY CC",0.000000000,85.000000000,0.000000000,5,0,,0,"63","6","63","PSME",,,,,,,,"CEIN3",,"New","High sev",,125,"CC",9/30/2016 0:00:00,
3191,"BAG1661",,9/3/2016 0:00:00,"JB CC",,"B0743",,121.980160000,41.035680000,,,"SHALE?",,,0.000000000,,,,100.000000000,0.000000000,0.000000000,20.000000000,0.000000000,,0.000000000,,4.000000000,,,,,,,6,,,0.000000000,100.000000000,0.000000000,5,0,,0,"13","2","13","PSME",,,,,,,,"CEIN3",,"New","High sev",,,"CC",9/30/2016 0:00:00,
3192,"BAG1658",,9/3/2016 0:00:00,"JB CC",,"B0741",,121.980740000,41.055480000,,,"SHALE?",,,0.000000000,,,,10.000000000,10.000000000,10.000000000,15.000000000,0.000000000,,15.000000000,,0.000000000,,,,,,,15,,"FIRE NEARBY- SOME BURNED STUMPS CUT STUMPS WITH SCORCH MARKS ON TOP COVER BY CC",20.000000000,30.000000000,15.000000000,10,0,,0,"12","8","13","PSME","PIPO",,,,,,,"CEIN3",,"New","Control",,39,"CC",9/30/2016 0:00:00,
3193,"BAG1677",,9/3/2016 0:00:00,"JB CC",,"B0739",,121.978320000,41.055520000,,,"SHALE?",,,0.000000000,,,,5.000000000,5.000000000,0.000000000,20.000000000,95.000000000,,100.000000000,,0.000000000,,,,,,,12,,"COVER BY CC",5.000000000,25.000000000,115.000000000,20,0,,0,"1","3","1","PSME",,,,,,,,"SYMO",,"New","Control",,17,"CC",9/30/2016 0:00:00,
3194,"BAG1669",,9/3/2016 0:00:00,"JB CC",,"B0738",,121.978400000,41.057360000,,,"SHALE?",,,0.000000000,,,,5.000000000,3.000000000,2.000000000,20.000000000,85.000000000,,95.000000000,,0.000000000,,,,,,,16,,"CC",5.000000000,20.000000000,105.000000000,20,0,,0,"4","4","4","PSME",,,,,,,,"SYMO",,"New","Control",,28,"CC",9/30/2016 0:00:00,
3196,"BAG1678",,9/3/2016 0:00:00,"JB CC",,"B0737",,121.978450000,41.059120000,,,"SHALE?",,,0.000000000,,,,15.000000000,5.000000000,0.000000000,30.000000000,70.000000000,,70.000000000,,0.000000000,,,,,,,12,,"COVER BY CC",5.000000000,50.000000000,100.000000000,20,0,,0,"5","2","5","PSME",,,,,,,,"SYMO",,"New","Control",,25,"CC",9/30/2016 0:00:00,
3197,"BAG1703",,9/3/2016 0:00:00,"JB CC",,"B0735",,121.976300000,41.068130000,,,"SHALE?",,,0.000000000,,,,10.000000000,5.000000000,5.000000000,40.000000000,15.000000000,,30.000000000,,0.000000000,,,,,,,7,,"COVER BY CC",10.000000000,45.000000000,55.000000000,20,0,,0,"5","1","16","PSME","ABCO",,,,,,,"ROWO",,"New","Control",,53,"CC",9/30/2016 0:00:00,
